Naam,Type,Status,URL,Toelichting,Impact IenW
Proposal for a Regulation establishing Horizon Europe - the Framework Programme for Research and Innovation 2021-2027,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-mff-horizon-europe-fp,,
Proposal for a Regulation establishing the European Defence Fund,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-mff-european-defence-fund,,
 Proposal for a regulation establishing the Digital Europe Programme 2021-2027,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-mff-digital-europe-programme,,
Council regulation establishing Research and Training Programme of the European Atomic Energy Community (Euratom) for the period 2021-2025,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-mff-euratom-research-programme,,
 Programme for Single Market and Competitiveness of Enterprises,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-mff-programme-for-single-market-and-competitiveness-of-enterprises,,
Specific programme implementing Horizon Europe framework programme for research and innovation 2021–2027,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-mff-horizon-europe-sp,,
"Proposal for a regulation establishing the European cybersecurity industrial, technology and research competence centre",Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-european-cybersecurity-competence-centers,,
Roaming regulation review,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-roaming-regulation-review,,
White Paper on levelling the playing field as regards foreign subsidies,Niet-regelgevend,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-white-paper-instrument-on-foreign-subsidies,,
Common chargers for mobile phones and similar devices,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-common-chargers-for-mobile-phones,,
Review of the directive on security of network and information systems,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-review-of-the-nis-directive,,
Proposal for a regulation of the European Parliament and of the Council on a single market for digital services (digital services act) and amending Directive 2000/31/EC,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-digital-services-act,,
The right to disconnect,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-al-legislative-proposal-to-the-commission-on-the-right-to-disconnect,,
Revision of the eIDAS Regulation – European Digital Identity (EUid),Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-eid,,
Data act,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-data-act,,
White Paper leading to legislative proposal on levelling the playing field for foreign subsidies,Niet-regelgevend,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-legislative-proposal-on-levelling-the-playing-field-for-foreign-subsidies,,
Digital Services Act: adapting commercial and civil law rules for commercial entities operating online,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-digital-services-act-commercial-and-civil-law-rules,,
"Framework of ethical aspects of artificial intelligence, robotics and related technologies",Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-ai-ethical-framework,,
European Parliament resolution on civil liability regime for artificial intelligence,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-artificial-intelligence-civil-liability-regime,,
"Digital services act: legislative-initiative report with recommendations to the European
Commission on improving the functioning of the single market.",Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-digital-services-act-improving-the-functioning-of-the-single-market,,
New design requirements and consumer rights for electronics pursuant to Directive 2009/125/EC,Niet-regelgevend,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-design-requirements-and-consumer-rights-for-electronics,,
Public procurement: Follow-up to the White Paper on foreign subsidies,Niet-regelgevend,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-public-procurement,,
Review of the Database Directive ,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-review-of-the-database-directive,,
Revision of the Machinery Directive (REFIT),Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-revision-of-the-machinery-directive,,
Digital operational resilience for the financial sector,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-cross-sectoral-financial-services-act-1,,
Fintech Amending Directive: Temporary exemption for multilateral trading facilities (MTFs) and amendment of certain EU financial services directives,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-cross-sectoral-financial-services-act-2,,
Proposal for a regulation of the European Parliament and of the Council on markets in crypto-assets,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-crypto-assets-1,,
Proposal for a Regulation on a pilot regime for market infrastructures based on distributed ledger technology (DLT),Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-crypto-assets-2,,
Proposal for a regulation of the European Parliament and of the Council  on contestable and fair markets in the digital sector (Digital Markets Act),Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-digital-markets-act,,
Proposal for a Regulation on European Data Governance,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-data-governance-act,,
Artificial intelligence act,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-regulation-on-artificial-intelligence,,
Regulation on distortive foreign subsidies,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-distortive-foreign-subsidies,,
Challenges of sports events’ organisers in the digital environment,Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-sports-events-in-digital-environment,,
"Proposal for a Regulation establishing the Union Secure Connectivity Programme for the period 2023-2027 ('infrastructure for Resilience, Interconnection and Security by Satellite’- IRIS²)",Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-building-an-eu-space-based-global-secure-communication-system,,
European Chips Act (semi-conductors),Legislative,Aangenomen of Voltooid,https://www.europarl.europa.eu/legislative-train/theme-a-europe-fit-for-the-digital-age/file-european-chips-act-(semiconductors),,
